Year,State_Abbr,State,Indicator,Percent,Low CI,High CI,Sample Size
2007,AZ,Arizona,Percent of breastfed infants who were supplemented with infant formula before 3 months,36.5,30.1,43.4,314
2006,ME,Maine,Percent of infants who were exclusively breastfed through 6 months,18.3,14.6,22.7,362
2012,OR,Oregon,Percent of infants who were ever breastfed,93.5,88.5,96.5,230
2014,ND,North Dakota,Percent of breastfed infants who were supplemented with infant formula before 3 months,27.4,20.7,35.3,173
2009,AK,Alaska,Percent of infants who were breastfed at 12 months,30.3,25.1,36,382
2012,AZ,Arizona,Percent of infants who were breastfed at 6 months,45.1,37.5,53,276
2014,KY,Kentucky,Percent of breastfed infants who were supplemented with infant formula before 3 months,28.9,21.4,37.7,163
2008,ND,North Dakota,Percent of infants who were breastfed at 6 months,47.2,41.5,52.9,328
2012,ID,Idaho,Percent of breastfed infants who were supplemented with infant formula before 6 months,37.8,28.3,48.2,143
2013,IL,Illinois,Percent of infants who were exclusively breastfed through 6 months,25.5,21.5,29.9,611
2016,NM,New Mexico,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,11,7.6,15.6,290
2008,MD,Maryland,Percent of infants who were breastfed at 6 months,44.9,39.2,50.8,595
2000,OK,Oklahoma,Percent of infants who were breastfed at 12 months,16.7,6.8,35.3,149
2010,AL,Alabama,Percent of infants who were breastfed at 6 months,31.9,25,39.6,250
2005,NC,North Carolina,Percent of infants who were breastfed at 6 months,39.4,33.6,45.6,367
2009,MD,Maryland,Percent of infants who were ever breastfed,75.3,70.1,79.9,721
2012,AK,Alaska,Percent of infants who were breastfed at 6 months,63.1,55.8,69.9,278
2016,MT,Montana,Percent of infants who were exclusively breastfed through 3 months,65.6,58.5,72.1,259
2009,CT,Connecticut,Percent of infants who were breastfed at 12 months,24.9,20.7,29.7,451
2009,AL,Alabama,Percent of infants who were exclusively breastfed through 3 months,25.2,20.6,30.5,449
2009,NE,Nebraska,Percent of breastfed infants who were supplemented with infant formula before 3 months,28.3,21.3,36.5,222
2004,VT,Vermont,Percent of infants who were ever breastfed,85.8,80.5,89.8,306
2012,AL,Alabama,Percent of infants who were ever breastfed,66.6,58.1,74.2,242
2009,AL,Alabama,Percent of infants who were ever breastfed,57.5,51.4,63.4,451
2014,WV,West Virginia,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,10.9,6.9,16.8,187
2006,AL,Alabama,Percent of infants who were breastfed at 12 months,11.3,8.6,14.8,446
2014,NH,New Hampshire,Percent of infants who were exclusively breastfed through 6 months,36.2,29.9,43.1,241
2012,DC,District of Columbia,Percent of infants who were breastfed at 12 months,33.4,27.1,40.3,313
2005,TX,Texas,Percent of infants who were breastfed at 6 months,42.4,38.2,46.7,1851
2002,TN,Tennessee,Percent of infants who were breastfed at 6 months,30.7,26.4,35.5,939
2009,WV,West Virginia,Percent of breastfed infants who were supplemented with infant formula before 3 months,27.8,20.1,37.1,188
2015,SD,South Dakota,Percent of infants who were exclusively breastfed through 3 months,54.3,46.8,61.6,231
2013,VA,Virginia,Percent of infants who were exclusively breastfed through 6 months,22,15.8,29.8,378
2009,RI,Rhode Island,Percent of infants who were exclusively breastfed through 3 months,31.1,26.2,36.5,421
2010,NE,Nebraska,Percent of infants who were exclusively breastfed through 3 months,45.1,37.3,53.1,236
2011,MN,Minnesota,Percent of infants who were exclusively breastfed through 6 months,23.5,17.5,30.8,203
2008,VA,Virginia,Percent of breastfed infants who were supplemented with infant formula before 6 months,45,37.8,52.4,291
2008,MI,Michigan,Percent of breastfed infants who were supplemented with infant formula before 3 months,34.7,27.8,42.3,248
2011,NV,Nevada,Percent of infants who were breastfed at 12 months,22.7,17.8,28.5,282
2011,OK,Oklahoma,Percent of breastfed infants who were supplemented with infant formula before 3 months,22.9,16.2,31.2,165
2010,TX,Texas,Percent of infants who were breastfed at 6 months,42.8,38.5,47.2,1612
2016,SC,South Carolina,Percent of infants who were exclusively breastfed through 6 months,22.8,18.1,28.4,335
2015,GA,Georgia,Percent of infants who were breastfed at 6 months,55.5,49,61.9,351
2007,NY,New York,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,33.9,29.7,38.3,615
2009,FL,Florida,Percent of infants who were ever breastfed,76.5,70.5,81.5,428
2016,HI,Hawaii,Percent of infants who were exclusively breastfed through 3 months,55.6,48.7,62.4,269
2012,PA,Pennsylvania,Percent of breastfed infants who were supplemented with infant formula before 3 months,28,22,34.8,405
2008,CA,California,Percent of infants who were breastfed at 12 months,34.7,29.6,40.2,537
2010,MI,Michigan,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,19.2,13.1,27.4,218
2015,PA,Pennsylvania,Percent of infants who were breastfed at 6 months,59.2,52.5,65.6,666
2005,HI,Hawaii,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,28.7,22.6,35.7,294
2016,PA,Pennsylvania,Percent of infants who were exclusively breastfed through 6 months,26.9,21.8,32.7,659
2004,WY,Wyoming,Percent of infants who were exclusively breastfed through 3 months,36.7,31.3,42.5,370
2016,TN,Tennessee,Percent of infants who were breastfed at 12 months,32.2,25.4,39.8,250
2016,SC,South Carolina,Percent of breastfed infants who were supplemented with infant formula before 3 months,24,17.9,31.3,242
2005,CO,Colorado,Percent of breastfed infants who were supplemented with infant formula before 6 months,32.9,24.8,42.3,206
2004,MS,Mississippi,Percent of breastfed infants who were supplemented with infant formula before 6 months,44.7,33.9,56.1,111
2014,NM,New Mexico,Percent of infants who were breastfed at 6 months,52.8,45.4,60,244
2013,CA,California,Percent of infants who were ever breastfed,90.2,84.5,93.9,374
2008,NJ,New Jersey,Percent of infants who were breastfed at 6 months,47.2,41.6,52.8,494
2010,SC,South Carolina,Percent of breastfed infants who were supplemented with infant formula before 3 months,29.6,20.8,40.2,141
2012,WI,Wisconsin,Percent of infants who were exclusively breastfed through 3 months,48.9,40.4,57.5,205
2006,GA,Georgia,Percent of infants who were exclusively breastfed through 3 months,29,23.9,34.8,378
2006,NE,Nebraska,Percent of breastfed infants who were supplemented with infant formula before 6 months,43.4,35.6,51.7,185
2007,IN,Indiana,Percent of breastfed infants who were supplemented with infant formula before 6 months,37.9,30.5,46,340
2007,OK,Oklahoma,Percent of breastfed infants who were supplemented with infant formula before 3 months,34.8,27.6,42.7,221
2009,MO,Missouri,Percent of infants who were exclusively breastfed through 6 months,15.2,11.4,20,431
2001,AZ,Arizona,Percent of infants who were ever breastfed,82.6,78.8,85.9,828
2010,WA,Washington,Percent of infants who were exclusively breastfed through 3 months,52.2,44.5,59.7,237
2014,AK,Alaska,Percent of breastfed infants who were supplemented with infant formula before 3 months,21.6,16.4,28,260
2008,ID,Idaho,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,11,7.5,16,306
2013,MD,Maryland,Percent of breastfed infants who were supplemented with infant formula before 6 months,48.3,39.7,56.9,258
2014,WA,Washington,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,13.9,9.6,19.8,314
2016,UT,Utah,Percent of infants who were breastfed at 6 months,71.6,65.2,77.1,293
2012,ND,North Dakota,Percent of infants who were breastfed at 6 months,48.1,41.1,55.1,321
2010,OR,Oregon,Percent of infants who were exclusively breastfed through 3 months,55.5,48.1,62.6,252
2014,OH,Ohio,Percent of infants who were exclusively breastfed through 3 months,41.6,34.8,48.7,272
2015,MN,Minnesota,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,7.2,4.2,12.1,255
2012,NY,New York,Percent of breastfed infants who were supplemented with infant formula before 3 months,40.5,34.8,46.4,411
2014,RI,Rhode Island,Percent of infants who were exclusively breastfed through 6 months,26.6,21,33.1,263
2014,IA,Iowa,Percent of infants who were ever breastfed,82.7,77.7,86.8,320
2006,VA,Virginia,Percent of infants who were ever breastfed,76.2,70.1,81.4,368
2012,WY,Wyoming,Percent of infants who were breastfed at 6 months,58.1,49.1,66.6,231
2002,IA,Iowa,Percent of infants who were ever breastfed,68,61,74.2,336
2010,WA,Washington,Percent of breastfed infants who were supplemented with infant formula before 3 months,31.7,24.3,40.2,194
2006,ND,North Dakota,Percent of breastfed infants who were supplemented with infant formula before 3 months,22.1,16.4,29,187
2005,SD,South Dakota,Percent of breastfed infants who were supplemented with infant formula before 6 months,42,33.1,51.5,168
2001,ME,Maine,Percent of infants who were breastfed at 6 months,41.6,36,47.5,327
2008,SC,South Carolina,Percent of infants who were exclusively breastfed through 6 months,8.7,6.3,11.9,403
2015,DC,District of Columbia,Percent of infants who were breastfed at 6 months,65.5,58.6,71.9,310
2016,MN,Minnesota,Percent of infants who were exclusively breastfed through 6 months,35.3,27,44.5,224
2010,CT,Connecticut,Percent of infants who were breastfed at 6 months,47.3,40.7,54.1,303
2015,RI,Rhode Island,Percent of infants who were breastfed at 12 months,30.9,25.4,36.9,279
2008,SD,South Dakota,Percent of breastfed infants who were supplemented with infant formula before 6 months,31.3,24.3,39.3,172
2000,NC,North Carolina,Percent of infants who were ever breastfed,67,54.2,77.7,155
2007,NM,New Mexico,Percent of infants who were exclusively breastfed through 3 months,42.8,37.3,48.5,429
2003,OH,Ohio,Percent of infants who were breastfed at 12 months,14.2,11.4,17.4,1036
2011,IA,Iowa,Percent of infants who were breastfed at 6 months,51.6,44,59.2,221
2008,AZ,Arizona,Percent of infants who were exclusively breastfed through 3 months,33.5,28,39.4,410
2016,IN,Indiana,Percent of breastfed infants who were supplemented with infant formula before 3 months,22,16.3,29,203
2015,OH,Ohio,Percent of breastfed infants who were supplemented with infant formula before 6 months,32,24.7,40.3,180
2004,DC,District of Columbia,Percent of infants who were breastfed at 12 months,23.6,19.7,28,489
2014,CT,Connecticut,Percent of breastfed infants who were supplemented with infant formula before 3 months,30.4,23.3,38.5,209
2011,HI,Hawaii,Percent of breastfed infants who were supplemented with infant formula before 3 months,30.2,23,38.4,207
2016,MS,Mississippi,Percent of infants who were exclusively breastfed through 3 months,32.2,27.3,37.7,409
2016,IL,Illinois,Percent of infants who were exclusively breastfed through 3 months,43.6,38.6,48.6,540
2011,AR,Arkansas,Percent of breastfed infants who were supplemented with infant formula before 6 months,40.2,28.5,53.2,85
2016,OH,Ohio,Percent of infants who were exclusively breastfed through 3 months,49.7,43.2,56.1,330
2007,CA,California,Percent of breastfed infants who were supplemented with infant formula before 3 months,37.4,31.9,43.3,518
2010,NV,Nevada,Percent of infants who were exclusively breastfed through 6 months,18.7,12.6,26.9,294
2009,MA,Massachusetts,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,22.4,16.8,29.2,316
2008,MT,Montana,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,10.9,7.5,15.5,307
2008,NC,North Carolina,Percent of infants who were ever breastfed,70.6,65,75.6,407
2001,DE,Delaware,Percent of infants who were ever breastfed,65.8,59.9,71.2,387
2005,VA,Virginia,Percent of infants who were breastfed at 12 months,18,14.1,22.7,411
2013,AR,Arkansas,Percent of infants who were ever breastfed,68.4,60.6,75.3,248
2015,TN,Tennessee,Percent of breastfed infants who were supplemented with infant formula before 6 months,36,26.8,46.4,151
2016,FL,Florida,Percent of infants who were exclusively breastfed through 6 months,23.4,18.3,29.5,399
2016,OH,Ohio,Percent of breastfed infants who were supplemented with infant formula before 3 months,20.6,15.2,27.3,247
2015,OH,Ohio,Percent of infants who were breastfed at 6 months,53.1,46.6,59.6,325
2006,AK,Alaska,Percent of breastfed infants who were supplemented with infant formula before 6 months,32.4,24.8,40.9,159
2013,PR,Puerto Rico,Percent of infants who were exclusively breastfed through 3 months,35.2,29.7,41,361
2016,NM,New Mexico,Percent of infants who were ever breastfed,85.4,80,89.6,333
2012,VA,Virginia,Percent of breastfed infants who were supplemented with infant formula before 3 months,26.3,18.4,36.1,251
2015,KY,Kentucky,Percent of infants who were breastfed at 6 months,48.6,41.8,55.5,270
2000,OH,Ohio,Percent of infants who were breastfed at 6 months,39.2,29.3,50.1,464
2000,ND,North Dakota,Percent of infants who were breastfed at 6 months,23.5,14.9,35.1,116
2004,NH,New Hampshire,Percent of infants who were exclusively breastfed through 3 months,37.1,31.5,43,334
2013,SD,South Dakota,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,15.1,10,22,205
2010,OH,Ohio,Percent of infants who were breastfed at 12 months,17.3,12.6,23.2,251
2008,AR,Arkansas,Percent of infants who were ever breastfed,62,55.8,67.8,448
2016,LA,Louisiana,Percent of infants who were ever breastfed,70.1,62.8,76.5,286
2012,AZ,Arizona,Percent of breastfed infants who were supplemented with infant formula before 6 months,38.1,27.5,50,143
2007,MT,Montana,Percent of infants who were ever breastfed,84.9,79.8,88.9,364
2015,AR,Arkansas,Percent of breastfed infants who were supplemented with infant formula before 6 months,40.8,31.5,50.7,150
2015,IL,Illinois,Percent of infants who were breastfed at 6 months,53,48,57.9,535
2010,IN,Indiana,Percent of infants who were breastfed at 6 months,34.2,27.7,41.3,278
2015,PA,Pennsylvania,Percent of infants who were exclusively breastfed through 3 months,48.9,42.2,55.6,651
2005,NE,Nebraska,Percent of infants who were exclusively breastfed through 3 months,37.7,31.5,44.3,295
2014,MD,Maryland,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,16.5,11.5,23,344
2005,NV,Nevada,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,30.5,24.6,37.1,281
2007,KS,Kansas,Percent of infants who were exclusively breastfed through 3 months,34.7,28.9,41.1,324
2013,CA,California,Percent of infants who were exclusively breastfed through 6 months,24.8,19.1,31.6,364
2012,RI,Rhode Island,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,19.1,13.1,27,177
2004,PA,Pennsylvania,Percent of infants who were exclusively breastfed through 3 months,29.4,25.7,33.4,1058
2007,SC,South Carolina,Percent of breastfed infants who were supplemented with infant formula before 6 months,40.6,31.1,51,124
2006,DC,District of Columbia,Percent of infants who were exclusively breastfed through 6 months,14.1,10.4,18.8,422
2012,GA,Georgia,Percent of infants who were exclusively breastfed through 3 months,35.5,27.7,44.1,241
2002,IA,Iowa,Percent of infants who were breastfed at 12 months,15.2,11.3,20.1,336
2007,DE,Delaware,Percent of infants who were ever breastfed,69.8,64.3,74.8,426
2006,NC,North Carolina,Percent of infants who were breastfed at 6 months,34.6,29.3,40.4,385
2012,AL,Alabama,Percent of breastfed infants who were supplemented with infant formula before 3 months,35.7,24.9,48.2,122
2001,NE,Nebraska,Percent of infants who were ever breastfed,71.1,63.2,77.8,344
2010,OH,Ohio,Percent of infants who were breastfed at 6 months,33.6,27.3,40.6,251
2015,TN,Tennessee,Percent of infants who were exclusively breastfed through 6 months,22.7,17.7,28.7,272
2007,IA,Iowa,Percent of breastfed infants who were supplemented with infant formula before 6 months,36.4,29.1,44.4,182
2009,MI,Michigan,Percent of infants who were breastfed at 6 months,42,36.1,48.3,462
2006,MA,Massachusetts,Percent of infants who were exclusively breastfed through 6 months,13.8,10,18.7,356
2001,LA,Louisiana,Percent of infants who were breastfed at 6 months,16.9,13.9,20.4,788
2014,WA,Washington,Percent of infants who were breastfed at 6 months,66.6,60,72.6,340
2010,DE,Delaware,Percent of breastfed infants who were supplemented with infant formula before 6 months,48.6,38.3,59.1,121
2013,NV,Nevada,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,22.1,16,29.7,202
2015,MN,Minnesota,Percent of breastfed infants who were supplemented with infant formula before 6 months,24.1,17.3,32.6,194
2016,PR,Puerto Rico,Percent of infants who were exclusively breastfed through 3 months,,,,
2011,TN,Tennessee,Percent of infants who were breastfed at 6 months,40.7,33.7,48.1,242
2003,CA,California,Percent of infants who were breastfed at 6 months,49.4,45.3,53.4,1687
2011,KS,Kansas,Percent of breastfed infants who were supplemented with infant formula before 3 months,30.5,22.4,40.1,130
2013,SC,South Carolina,Percent of breastfed infants who were supplemented with infant formula before 6 months,22,14.7,31.6,125
2009,WI,Wisconsin,Percent of infants who were breastfed at 6 months,45.9,39.3,52.7,376
2009,NJ,New Jersey,Percent of infants who were exclusively breastfed through 3 months,37,31.7,42.5,461
2012,ME,Maine,Percent of infants who were exclusively breastfed through 6 months,16.6,11.9,22.5,258
2008,OK,Oklahoma,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,15.3,11.6,20,338
2011,RI,Rhode Island,Percent of infants who were breastfed at 6 months,47,39.7,54.4,249
2003,MS,Mississippi,Percent of infants who were breastfed at 12 months,7.3,5,10.6,440
2014,NE,Nebraska,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,19.1,12.6,28,216
2010,MA,Massachusetts,Percent of infants who were exclusively breastfed through 6 months,19.2,14.1,25.4,243
2000,DC,District of Columbia,Percent of infants who were breastfed at 12 months,9.9,5.3,17.7,154
2002,MO,Missouri,Percent of infants who were breastfed at 12 months,16.1,12.2,20.9,402
2007,OH,Ohio,Percent of breastfed infants who were supplemented with infant formula before 6 months,35,27.2,43.7,177
2004,WV,West Virginia,Percent of breastfed infants who were supplemented with infant formula before 3 months,29,22.1,37.1,158
2016,MI,Michigan,Percent of breastfed infants who were supplemented with infant formula before 6 months,27.2,20.4,35.3,209
2015,GU,Guam,Percent of infants who were ever breastfed,80.6,74.1,85.7,253
2015,MS,Mississippi,Percent of infants who were breastfed at 12 months,18.3,14.3,23.1,348
2014,OR,Oregon,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,11,7,17,235
2001,OR,Oregon,Percent of infants who were breastfed at 12 months,29.9,23.5,37.2,332
2013,IA,Iowa,Percent of breastfed infants who were supplemented with infant formula before 6 months,32.4,24.2,41.8,132
2013,AR,Arkansas,Percent of breastfed infants who were supplemented with infant formula before 3 months,33,23.6,44,134
2013,KS,Kansas,Percent of infants who were breastfed at 12 months,32.4,26,39.5,237
2004,OR,Oregon,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,20.2,14.8,26.9,256
2009,SC,South Carolina,Percent of breastfed infants who were supplemented with infant formula before 3 months,29.6,21.8,38.7,189
2001,DC,District of Columbia,Percent of infants who were breastfed at 12 months,18.5,12.8,26,415
2016,CA,California,Percent of infants who were breastfed at 6 months,58.5,49.1,67.3,374
2007,MO,Missouri,Percent of infants who were breastfed at 6 months,36.7,31.7,41.9,457
2009,MO,Missouri,Percent of infants who were breastfed at 6 months,38.2,32.6,44.1,436
2007,NC,North Carolina,Percent of infants who were exclusively breastfed through 3 months,29,23.9,34.7,372
2007,GA,Georgia,Percent of infants who were breastfed at 12 months,17.2,13.3,22,429
2010,NE,Nebraska,Percent of infants who were exclusively breastfed through 6 months,15.9,11.3,21.9,236
2000,LA,Louisiana,Percent of infants who were breastfed at 12 months,3.7,2.4,5.7,363
2008,NC,North Carolina,Percent of infants who were breastfed at 12 months,18.6,14.9,23.1,407
2005,IN,Indiana,Percent of infants who were exclusively breastfed through 6 months,10.3,7.4,14.1,654
2012,IA,Iowa,Percent of breastfed infants who were supplemented with infant formula before 6 months,23.3,15.3,33.9,109
2009,NJ,New Jersey,Percent of infants who were exclusively breastfed through 6 months,14,10.8,18.1,461
2014,GA,Georgia,Percent of infants who were exclusively breastfed through 3 months,44.6,38.1,51.3,337
2009,ID,Idaho,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,16.4,11.4,23.1,300
2009,KS,Kansas,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,25.9,19.5,33.5,357
2004,CT,Connecticut,Percent of breastfed infants who were supplemented with infant formula before 3 months,37.9,31.2,45.2,245
2015,MD,Maryland,Percent of breastfed infants who were supplemented with infant formula before 3 months,32.3,24.3,41.6,338
2013,VA,Virginia,Percent of infants who were exclusively breastfed through 3 months,49.5,40.8,58.3,378
2005,WI,Wisconsin,Percent of infants who were breastfed at 12 months,17.1,12.5,22.9,307
2016,NM,New Mexico,Percent of infants who were breastfed at 6 months,61.3,54.5,67.6,333
2013,KS,Kansas,Percent of breastfed infants who were supplemented with infant formula before 3 months,21,14.7,29.1,160
2008,MN,Minnesota,Percent of infants who were breastfed at 6 months,52.5,46.5,58.4,369
2014,NH,New Hampshire,Percent of infants who were breastfed at 6 months,62.7,55.8,69.1,256
2000,AR,Arkansas,Percent of infants who were breastfed at 6 months,32.5,19.5,48.9,148
2009,ME,Maine,Percent of breastfed infants who were supplemented with infant formula before 6 months,36.5,27.7,46.2,169
2013,MS,Mississippi,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,26.9,19.3,36,175
2015,NE,Nebraska,Percent of infants who were exclusively breastfed through 3 months,46.7,39.3,54.3,219
2009,IA,Iowa,Percent of breastfed infants who were supplemented with infant formula before 3 months,29.6,22.6,37.6,214
2007,TN,Tennessee,Percent of breastfed infants who were supplemented with infant formula before 3 months,35.7,28.7,43.3,256
2001,NJ,New Jersey,Percent of infants who were ever breastfed,73.7,68.8,78.1,818
2011,MN,Minnesota,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,15.9,10.1,24,185
2013,DE,Delaware,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,17.7,12.3,24.8,197
2009,NC,North Carolina,Percent of infants who were breastfed at 6 months,40.3,33.8,47.2,352
2015,WI,Wisconsin,Percent of breastfed infants who were supplemented with infant formula before 3 months,27.2,20.5,35.2,191
2015,PR,Puerto Rico,Percent of infants who were exclusively breastfed through 3 months,48.4,42.3,54.6,352
2015,HI,Hawaii,Percent of infants who were exclusively breastfed through 3 months,54.9,48.3,61.3,268
2005,FL,Florida,Percent of infants who were exclusively breastfed through 6 months,9.8,6.9,13.9,840
2008,AL,Alabama,Percent of infants who were ever breastfed,55,49.6,60.2,483
2012,SD,South Dakota,Percent of infants who were ever breastfed,82.1,73.8,88.2,201
2015,NH,New Hampshire,Percent of infants who were exclusively breastfed through 3 months,55.9,49.3,62.3,265
2010,UT,Utah,Percent of breastfed infants who were supplemented with infant formula before 6 months,47.5,38,57.1,166
2016,ME,Maine,Percent of breastfed infants who were supplemented with infant formula before 6 months,25.6,19.2,33.4,178
2008,NJ,New Jersey,Percent of breastfed infants who were supplemented with infant formula before 3 months,47.3,40.4,54.3,307
2011,UT,Utah,Percent of infants who were exclusively breastfed through 6 months,20,14.4,27,239
2004,PA,Pennsylvania,Percent of infants who were breastfed at 12 months,17.2,14.3,20.5,1116
2014,AR,Arkansas,Percent of breastfed infants who were supplemented with infant formula before 6 months,29.4,19.9,41.1,113
2006,MN,Minnesota,Percent of infants who were breastfed at 6 months,52.3,46.9,57.7,461
2007,AK,Alaska,Percent of infants who were breastfed at 12 months,33.3,27.9,39.2,323
2013,MO,Missouri,Percent of breastfed infants who were supplemented with infant formula before 3 months,25.6,18,35,178
2013,GA,Georgia,Percent of infants who were ever breastfed,69.2,61.8,75.7,312
2014,IN,Indiana,Percent of infants who were breastfed at 12 months,24,19,29.9,271
2011,CO,Colorado,Percent of infants who were ever breastfed,81,73.9,86.5,278
2016,KY,Kentucky,Percent of infants who were exclusively breastfed through 3 months,43.8,36.2,51.7,209
2000,ID,Idaho,Percent of infants who were ever breastfed,93.9,90.4,96.2,130
2010,KY,Kentucky,Percent of infants who were breastfed at 6 months,33.2,26.7,40.4,264
2013,IN,Indiana,Percent of breastfed infants who were supplemented with infant formula before 6 months,34.5,25.4,45,116
2000,AR,Arkansas,Percent of infants who were breastfed at 12 months,12.1,6.6,21.3,148
2004,NH,New Hampshire,Percent of breastfed infants who were supplemented with infant formula before 6 months,41.1,33.6,49.1,181
2008,KS,Kansas,Percent of infants who were breastfed at 6 months,44.9,38.9,50.9,395
2010,DC,District of Columbia,Percent of infants who were exclusively breastfed through 3 months,34.7,28.5,41.5,315
2003,IN,Indiana,Percent of infants who were breastfed at 12 months,17.4,13.5,22.1,497
2006,AZ,Arizona,Percent of infants who were breastfed at 6 months,46,40.3,51.9,412
2010,RI,Rhode Island,Percent of infants who were breastfed at 6 months,40.1,33.4,47.3,247
2000,OH,Ohio,Percent of infants who were ever breastfed,69.9,58.6,79.3,464
2013,TX,Texas,Percent of infants who were breastfed at 12 months,26.8,23.4,30.5,1570
2009,NV,Nevada,Percent of infants who were ever breastfed,80.2,73.8,85.3,362
2016,VA,Virginia,Percent of infants who were ever breastfed,82.9,74.1,89.2,414
2012,AL,Alabama,Percent of infants who were exclusively breastfed through 3 months,25.5,18.9,33.4,241
2012,VA,Virginia,Percent of infants who were breastfed at 12 months,26.1,19.3,34.2,330
2004,IA,Iowa,Percent of infants who were breastfed at 6 months,43.2,37.3,49.3,337
2013,MO,Missouri,Percent of infants who were breastfed at 6 months,56.6,48.7,64.1,243
2015,VA,Virginia,Percent of infants who were breastfed at 6 months,62.5,53.6,70.7,405
2005,WY,Wyoming,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,12.9,8.9,18.3,271
2007,WV,West Virginia,Percent of infants who were exclusively breastfed through 6 months,6.4,4.4,9.1,353
2005,CO,Colorado,Percent of infants who were ever breastfed,85.4,79.6,89.8,353
2014,NJ,New Jersey,Percent of infants who were exclusively breastfed through 6 months,24.8,19.6,30.8,346
2006,LA,Louisiana,Percent of infants who were ever breastfed,49,43.3,54.7,463
2012,NE,Nebraska,Percent of infants who were breastfed at 12 months,34.1,27,41.9,249
2010,MS,Mississippi,Percent of infants who were breastfed at 6 months,19.7,14.2,26.7,275
2011,VA,Virginia,Percent of infants who were breastfed at 12 months,27.4,20.2,36.1,294
2014,NY,New York,Percent of infants who were exclusively breastfed through 6 months,22.8,19.4,26.6,671
2000,SD,South Dakota,Percent of infants who were breastfed at 6 months,42.6,27.8,58.9,120
2005,NY,New York,Percent of infants who were breastfed at 12 months,24.9,21.6,28.4,770
2006,SC,South Carolina,Percent of infants who were ever breastfed,60.9,54.9,66.6,423
2004,ND,North Dakota,Percent of breastfed infants who were supplemented with infant formula before 6 months,43,35.2,51.2,177
2012,LA,Louisiana,Percent of infants who were breastfed at 12 months,9.6,6.8,13.5,301
2012,NC,North Carolina,Percent of breastfed infants who were supplemented with infant formula before 6 months,32.7,23.6,43.2,155
2002,NH,New Hampshire,Percent of infants who were breastfed at 12 months,25.4,20.6,31,329
2004,PA,Pennsylvania,Percent of infants who were breastfed at 6 months,37,33.1,41.1,1116
2013,ND,North Dakota,Percent of breastfed infants who were supplemented with infant formula before 3 months,23,16.6,31,179
2014,OR,Oregon,Percent of infants who were exclusively breastfed through 6 months,38.3,31.5,45.6,244
2013,WA,Washington,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,13.7,8.9,20.6,275
2006,NH,New Hampshire,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,20.1,14.9,26.4,255
2013,NV,Nevada,Percent of infants who were ever breastfed,82.6,76,87.6,244
2005,VT,Vermont,Percent of infants who were exclusively breastfed through 6 months,22.8,17.9,28.5,292
2004,ME,Maine,Percent of infants who were ever breastfed,75.4,69.4,80.5,304
2010,KS,Kansas,Percent of infants who were exclusively breastfed through 6 months,14.1,10,19.6,251
2015,DC,District of Columbia,Percent of breastfed infants who were supplemented with infant formula before 3 months,27.4,21.5,34.2,252
2006,TN,Tennessee,Percent of infants who were ever breastfed,60.2,54,66.1,435
2014,AR,Arkansas,Percent of infants who were breastfed at 12 months,21.9,16.4,28.7,252
2009,LA,Louisiana,Percent of infants who were breastfed at 6 months,27,22.1,32.5,423
2005,NM,New Mexico,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,18,13.4,23.8,294
2006,FL,Florida,Percent of infants who were exclusively breastfed through 6 months,11.9,9.2,15.3,860
2007,NV,Nevada,Percent of infants who were exclusively breastfed through 6 months,11.9,8.9,15.7,387
2008,AZ,Arizona,Percent of infants who were exclusively breastfed through 6 months,11.3,8.2,15.4,410
2010,IL,Illinois,Percent of infants who were breastfed at 6 months,43.6,38.4,49,578
2007,AK,Alaska,Percent of breastfed infants who were supplemented with infant formula before 3 months,28.6,22.4,35.7,242
2013,MN,Minnesota,Percent of infants who were breastfed at 12 months,41,34.8,47.5,316
2016,CT,Connecticut,Percent of infants who were breastfed at 12 months,42.3,34.1,50.9,218
2016,DC,District of Columbia,Percent of infants who were ever breastfed,76.9,70.2,82.5,347
